race_date,venue,surface,distance,race_name,grade,winner,winner_odds,before_honmei,before_pop,before_odds,before_hit,after_honmei,after_pop,after_odds,after_hit,honmei_changed
2024-11-02,京都,芝,1400,ファンタG3,G3,ダンツエラン      ,9.5,ヴーレヴー        ,2,4.4,False,ヴーレヴー        ,2,4.4,False,False
2024-11-02,東京,芝,1400,京王杯２G2,G2,パンジャタワー    ,21.0,パンジャタワー    ,8,21.0,True,ヒシアマン        ,1,2.6,False,True
2024-11-03,京都,ダ,1800,みやこＳG3,G3,サンライズジパング,6.6,オメガギネス      ,1,2.6,False,オメガギネス      ,1,2.6,False,False
2024-11-03,東京,芝,2500,アルゼンＨG2,G2,ハヤヤッコ        ,35.3,クロミナンス      ,1,3.4,False,クロミナンス      ,1,3.4,False,False
2024-11-09,東京,ダ,1600,武蔵野ＳG3,G3,エンペラーワケア  ,1.7,エンペラーワケア  ,1,1.7,True,エンペラーワケア  ,1,1.7,True,False
2024-11-10,京都,芝,2200,エリザベG1,G1,スタニングローズ  ,9.5,レガレイラ        ,1,1.9,False,レガレイラ        ,1,1.9,False,False
2024-11-10,福島,芝,2000,福島記念ＨG3,G3,アラタ            ,12.6,シリウスコルト    ,5,9.4,False,シリウスコルト    ,5,9.4,False,False
2024-11-17,京都,芝,1600,マイルチG1,G1,ソウルラッシュ    ,5.3,ブレイディヴェーグ,1,3.7,False,ブレイディヴェーグ,1,3.7,False,False
2024-11-24,京都,芝,1200,京阪杯G3,G3,ビッグシーザー    ,4.7,ビッグシーザー    ,1,4.7,True,ヴェントヴォーチェ,10,28.1,False,True
2024-11-24,東京,芝,2400,ＪＣG1,G1,ドウデュース      ,2.3,チェルヴィニア    ,2,4.0,False,チェルヴィニア    ,2,4.0,False,False
2024-11-30,中山,芝,3600,ステイヤG2,G2,シュヴァリエローズ,3.6,ゴールデンスナップ,1,3.5,False,ゴールデンスナップ,1,3.5,False,False
2024-11-30,京都,芝,2000,チャレンG3,G3,ラヴェル          ,6.5,ダノンエアズロック,1,4.7,False,ダノンエアズロック,1,4.7,False,False
2024-12-01,中京,ダ,1800,チャンピG1,G1,レモンポップ      ,2.2,レモンポップ      ,1,2.2,True,ウィルソンテソーロ,2,5.5,False,True
2024-12-07,中京,芝,2000,中日新聞ＨG3,G3,デシエルト        ,5.2,ロードデルレイ    ,1,3.7,False,ロードデルレイ    ,1,3.7,False,False
2024-12-08,中山,ダ,1200,カペラＳG3,G3,ガビーズシスター  ,3.3,ガビーズシスター  ,1,3.3,True,インユアパレス    ,3,6.0,False,True
2024-12-08,京都,芝,1600,阪神ジュG1,G1,アルマヴェローチェ,10.5,メイデイレディ    ,4,9.2,False,メイデイレディ    ,4,9.2,False,False
2024-12-14,中山,芝,1600,ターコイＨG3,G3,アルジーヌ        ,5.3,ミアネーロ        ,1,2.9,False,ミアネーロ        ,1,2.9,False,False
2024-12-15,京都,芝,1600,フューチG1,G1,アドマイヤズーム  ,9.1,ランスオブカオス  ,9,45.8,False,ランスオブカオス  ,9,45.8,False,False
2024-12-21,京都,芝,1400,阪神カッG2,G2,ナムラクレア      ,3.7,ダノンマッキンリー,5,8.1,False,ママコチャ        ,4,7.0,False,True
2024-12-22,中山,芝,2500,有馬記念G1,G1,レガレイラ        ,10.9,アーバンシック    ,1,2.8,False,アーバンシック    ,1,2.8,False,False
2024-12-28,中山,芝,2000,ホープフG1,G1,クロワデュノール  ,1.8,クロワデュノール  ,1,1.8,True,ピコチャンブラック,3,7.6,False,True
